Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
AMAPÁ;33;CARLOS SAMPAIO;PMN/PMN / PPS / PT do B / PSD / PSB / PHS / PRTB / PEN / PC do B / PTC / PTN / PSC / PRB / PSDC;2.243;43,74 %
CALÇOENE;20;DR. LINDOVAL;PSC/PSC / SD;1.752;46,44 %
CUTIAS;90;PROFESSOR AMANAJÁS;PROS/PROS / PEN / PPL / DEM / PRP / PV / PTB / PSDB;1.189;32,75 %
FERREIRA GOMES;51;DIVINO ROCHA;PEN/PEN / PTB / PMN;2.548;43,19 %
ITAUBAL;15;DR VICTOR;PMDB/PMDB / PR / DEM / PV / PT / PSL / PMB / PSDB / PP / PRP / PRB / PT do B;1.789;36,70 %
LARANJAL DO JARI;10;MÁRCIO SERRÃO;PRB/PRB / PRP / PSDB / PRTB / PSB / PPL / DEM / REDE / PTC;6.849;37,31 %
MACAPÁ;18;* CLÉCIO;REDE/REDE / DEM / PPL / PSC / PT do B / PSDB / PC do B;95.129;44,59 %
MACAPÁ;15;* GILVAM BORGES;PMDB/PMDB / PROS / PDT / PPS / PTN / PSD / SD;56.256;26,37 %
MAZAGÃO;54;PROFESSOR DUDÃO;PPL/PPL / PSD / PSC / PSDB / REDE / DEM / PMN / PC do B / PR / PMB / PSB / PTB;6.024;50,28 %
OIAPOQUE;45;MARIA ORLANDA;PSDB/PRB / PSDB / PROS / DEM / PEN / REDE;4.834;40,26 %
PEDRA BRANCA DO AMAPARI;15;BETH PELAES;PMDB/PMDB / PC do B / PROS / PRB / PPS / PSD / PSB;2.159;32,51 %
PORTO GRANDE;12;BESSA;PDT/PDT / PPS / PMDB / PEN / SD;3.402;32,23 %
PRACUÚBA;22;BELIZE;PR/PR / DEM / PRB / PP / PSC / PMB / PT do B;1.551;50,37 %
SANTANA;27;OFIRNEY SADALA;PSDC/PRB / PTB / PSDC / PMB / PTC / PV / PRP;16.542;26,99 %
SERRA DO NAVIO;70;ELSON 70;PT do B/REDE / PSC / DEM / PTC / PSDB / PT do B / PPS;1.708;59,35 %
TARTARUGALZINHO;15;RILDO OLIVEIRA;PMDB/PRB / PP / PDT / PMDB / PSL / PTN / PRP / PRTB / PSD / SD;3.984;55,26 %
VITÓRIA DO JARI;13;DIELSON;PT/PT / PDT / PTN / PSC / PR / PSDC / PV / PSDB / PSOL / PC do B / SD;4.105;52,53 %
